"","nc","delta1","delta2","pow","ess"
"287",15,0.08,0,1,49.9999703849703
"288",15,0.08,0.02,1,49.9999103196186
"289",15,0.08,0.04,1,49.9980783611083
"290",15,0.08,0.06,0.5,49.9858200801184
"291",15,0.08,0.08,0.1,49.9390424965179
"292",15,0.08,0.1,0.9,49.8099860782873
"293",15,0.08,0.12,0.9,49.5206740101191
"294",15,0.08,0.14,0.9,48.9603948696501
"295",15,0.08,0.16,0.8,47.9913300451648
"296",15,0.08,0.18,0.7,46.4673190262653
"297",15,0.08,0.2,0,44.2682474663085
"298",15,0.1,0,1,49.9999703849703
"299",15,0.1,0.02,1,49.9999103196186
"300",15,0.1,0.04,1,49.9980783611083
"301",15,0.1,0.06,1,49.9858200801184
"302",15,0.1,0.08,0.7,49.9390424965179
"303",15,0.1,0.1,0,49.8099860782873
