"","nc","delta1","delta2","pow2","pow1","ess"
"271",15,0.04,0.12,0.979377,0.84,106.567845345785
"272",15,0.04,0.14,0.992121,0.94,106.547952310005
"273",15,0.04,0.16,0.997154,1,107.094342593851
"274",15,0.04,0.18,0.999077,1,106.657447075787
"275",15,0.04,0.2,0.999531,1,105.987910808886
"276",15,0.06,0,0.809857,0.25,106.971946002596
"277",15,0.06,0.02,0.776526,0.11,106.299089246801
"278",15,0.06,0.04,0.758805,0.07,107.066771219969
"279",15,0.06,0.06,0.772228,0.2,106.703984851324
"280",15,0.06,0.08,0.82676,0.33,107.110001432679
"281",15,0.06,0.1,0.893049,0.5,106.706086096569
"282",15,0.06,0.12,0.946118,0.68,106.567845345785
"283",15,0.06,0.14,0.976148,0.84,106.547952310005
"284",15,0.06,0.16,0.990694,0.94,107.094342593851
"285",15,0.06,0.18,0.99663,1,106.657447075787
"286",15,0.06,0.2,0.998675,1,105.987910808886
"287",15,0.08,0,0.882839,0.49,106.971946002596
"288",15,0.08,0.02,0.817004,0.29,106.299089246801
"289",15,0.08,0.04,0.781048,0.12,107.066771219969
"290",15,0.08,0.06,0.75877,0.06,106.703984851324
"291",15,0.08,0.08,0.766695,0.16,107.110001432679
"292",15,0.08,0.1,0.815905,0.31,106.706086096569
"293",15,0.08,0.12,0.882869,0.48,106.567845345785
"294",15,0.08,0.14,0.939201,0.64,106.547952310005
"295",15,0.08,0.16,0.972538,0.84,107.094342593851
"296",15,0.08,0.18,0.988938,0.94,106.657447075787
"297",15,0.08,0.2,0.995803,1,105.987910808886
"298",15,0.1,0,0.940414,0.69,106.971946002596
"299",15,0.1,0.02,0.891488,0.51,106.299089246801
"300",15,0.1,0.04,0.825974,0.31,107.066771219969
"301",15,0.1,0.06,0.785432,0.13,106.703984851324
"302",15,0.1,0.08,0.758793,0.07,107.110001432679
"303",15,0.1,0.1,0.763493,0.13,106.706086096569
"304",15,0.1,0.12,0.805182,0.28,106.567845345785
"305",15,0.1,0.14,0.872576,0.45,106.547952310005
"306",15,0.1,0.16,0.931351,0.6,107.094342593851
"307",15,0.1,0.18,0.968386,0.81,106.657447075787
"308",15,0.1,0.2,0.986709,0.9,105.987910808886
"309",15,0.12,0,0.974975,0.87,106.971946002596
"310",15,0.12,0.02,0.946693,0.71,106.299089246801
"311",15,0.12,0.04,0.899022,0.54,107.066771219969
"312",15,0.12,0.06,0.835318,0.35,106.703984851324
"313",15,0.12,0.08,0.789735,0.17,107.110001432679
"314",15,0.12,0.1,0.761008,0.06,106.706086096569
"315",15,0.12,0.12,0.760286,0.14,106.567845345785
"316",15,0.12,0.14,0.794744,0.26,106.547952310005
"317",15,0.12,0.16,0.862066,0.44,107.094342593851
"318",15,0.12,0.18,0.922802,0.58,106.657447075787
"319",15,0.12,0.2,0.963593,0.8,105.987910808886
"320",15,0.14,0,0.991321,0.96,106.971946002596
"321",15,0.14,0.02,0.978109,0.9,106.299089246801
"322",15,0.14,0.04,0.952183,0.74,107.066771219969
"323",15,0.14,0.06,0.906706,0.55,106.703984851324
"324",15,0.14,0.08,0.845403,0.37,107.110001432679
"325",15,0.14,0.1,0.794886,0.18,106.706086096569
"326",15,0.14,0.12,0.763955,0.07,106.567845345785
"327",15,0.14,0.14,0.758331,0.1,106.547952310005
"328",15,0.14,0.16,0.786041,0.22,107.094342593851
"329",15,0.14,0.18,0.851273,0.38,106.657447075787
"330",15,0.14,0.2,0.91347,0.57,105.987910808886
"331",15,0.16,0,0.997492,0.98,106.971946002596
"332",15,0.16,0.02,0.992625,0.97,106.299089246801
"333",15,0.16,0.04,0.98086,0.93,107.066771219969
"334",15,0.16,0.06,0.957146,0.75,106.703984851324
"335",15,0.16,0.08,0.914656,0.57,107.110001432679
"336",15,0.16,0.1,0.855456,0.39,106.706086096569
"337",15,0.16,0.12,0.79937,0.2,106.567845345785
"338",15,0.16,0.14,0.766951,0.07,106.547952310005
"339",15,0.16,0.16,0.756411,0.08,107.094342593851
"340",15,0.16,0.18,0.778751,0.22,106.657447075787
"341",15,0.16,0.2,0.840269,0.35,105.987910808886
"342",15,0.18,0,0.999329,1,106.971946002596
"343",15,0.18,0.02,0.997873,0.99,106.299089246801
"344",15,0.18,0.04,0.99361,0.98,107.066771219969
"345",15,0.18,0.06,0.98337,0.93,106.703984851324
"346",15,0.18,0.08,0.961489,0.78,107.110001432679
"347",15,0.18,0.1,0.921721,0.61,106.706086096569
"348",15,0.18,0.12,0.86629,0.43,106.567845345785
"349",15,0.18,0.14,0.80419,0.23,106.547952310005
"350",15,0.18,0.16,0.771115,0.09,107.094342593851
"351",15,0.18,0.18,0.75477,0.07,106.657447075787
"352",15,0.18,0.2,0.77156,0.2,105.987910808886
"353",15,0.2,0,0.99984,1,106.971946002596
"354",15,0.2,0.02,0.99944,1,106.299089246801
"355",15,0.2,0.04,0.998197,0.99,107.066771219969
"356",15,0.2,0.06,0.994579,0.98,106.703984851324
"357",15,0.2,0.08,0.985486,0.94,107.110001432679
"358",15,0.2,0.1,0.965364,0.8,106.706086096569
"359",15,0.2,0.12,0.928829,0.63,106.567845345785
"360",15,0.2,0.14,0.876141,0.47,106.547952310005
"361",15,0.2,0.16,0.811016,0.26,107.094342593851
"362",15,0.2,0.18,0.775093,0.11,106.657447075787
"363",15,0.2,0.2,0.754444,0.07,105.987910808886
"364",20,0,0,0.797997,0.23,111.780029060235
"365",20,0,0.02,0.862048,0.4,111.940009730856
"366",20,0,0.04,0.916828,0.61,111.43884694194
"367",20,0,0.06,0.954256,0.78,111.630282677996
"368",20,0,0.08,0.979041,0.89,111.437043173779
"369",20,0,0.1,0.991378,0.95,111.299052411176
"370",20,0,0.12,0.996829,1,111.532381060814
"371",20,0,0.14,0.998934,1,110.902300394751
"372",20,0,0.16,0.999626,1,111.443461141844
"373",20,0,0.18,0.999891,1,110.651962583682
"374",20,0,0.2,0.999821,1,110.24873691753
"375",20,0.02,0,0.755213,0.12,111.780029060235
"376",20,0.02,0.02,0.78692,0.19,111.940009730856
"377",20,0.02,0.04,0.849666,0.37,111.43884694194
"378",20,0.02,0.06,0.906761,0.56,111.630282677996
"379",20,0.02,0.08,0.94728,0.72,111.437043173779
"380",20,0.02,0.1,0.975001,0.87,111.299052411176
"381",20,0.02,0.12,0.989463,0.93,111.532381060814
"382",20,0.02,0.14,0.995964,0.98,110.902300394751
"383",20,0.02,0.16,0.99864,1,111.443461141844
"384",20,0.02,0.18,0.999546,1,110.651962583682
"385",20,0.02,0.2,0.999702,1,110.24873691753
"386",20,0.04,0,0.759003,0.08,111.780029060235
"387",20,0.04,0.02,0.752745,0.09,111.940009730856
"388",20,0.04,0.04,0.776001,0.16,111.43884694194
"389",20,0.04,0.06,0.835636,0.33,111.630282677996
"390",20,0.04,0.08,0.895651,0.49,111.437043173779
"391",20,0.04,0.1,0.939945,0.67,111.299052411176
"392",20,0.04,0.12,0.970305,0.8,111.532381060814
"393",20,0.04,0.14,0.986983,0.92,110.902300394751
"394",20,0.04,0.16,0.99501,0.98,111.443461141844
"395",20,0.04,0.18,0.998235,1,110.651962583682
"396",20,0.04,0.2,0.99923,1,110.24873691753
"397",20,0.06,0,0.811554,0.25,111.780029060235
"398",20,0.06,0.02,0.762193,0.12,111.940009730856
"399",20,0.06,0.04,0.751554,0.08,111.43884694194
"400",20,0.06,0.06,0.766085,0.15,111.630282677996
"401",20,0.06,0.08,0.821137,0.32,111.437043173779
"402",20,0.06,0.1,0.882995,0.44,111.299052411176
"403",20,0.06,0.12,0.931964,0.64,111.532381060814
"404",20,0.06,0.14,0.964866,0.8,110.902300394751
"405",20,0.06,0.16,0.984334,0.91,111.443461141844
"406",20,0.06,0.18,0.993728,0.97,110.651962583682
"407",20,0.06,0.2,0.9975,1,110.24873691753
"408",20,0.08,0,0.88695,0.48,111.780029060235
"409",20,0.08,0.02,0.825332,0.28,111.940009730856
"410",20,0.08,0.04,0.767233,0.13,111.43884694194
"411",20,0.08,0.06,0.751304,0.08,111.630282677996
"412",20,0.08,0.08,0.757889,0.12,111.437043173779
"413",20,0.08,0.1,0.807374,0.26,111.299052411176
"414",20,0.08,0.12,0.870218,0.4,111.532381060814
"415",20,0.08,0.14,0.923214,0.63,110.902300394751
"416",20,0.08,0.16,0.95873,0.78,111.443461141844
"417",20,0.08,0.18,0.981027,0.89,110.651962583682
"418",20,0.08,0.2,0.991997,0.96,110.24873691753
"419",20,0.1,0,0.943946,0.71,111.780029060235
"420",20,0.1,0.02,0.89711,0.5,111.940009730856
"421",20,0.1,0.04,0.838396,0.31,111.43884694194
"422",20,0.1,0.06,0.773555,0.13,111.630282677996
"423",20,0.1,0.08,0.752454,0.08,111.437043173779
"424",20,0.1,0.1,0.75501,0.11,111.299052411176
"425",20,0.1,0.12,0.794309,0.22,111.532381060814
"426",20,0.1,0.14,0.858079,0.39,110.902300394751
"427",20,0.1,0.16,0.913577,0.61,111.443461141844
"428",20,0.1,0.18,0.951543,0.75,110.651962583682
"429",20,0.1,0.2,0.976899,0.88,110.24873691753
"430",20,0.12,0,0.976775,0.86,111.780029060235
"431",20,0.12,0.02,0.951004,0.75,111.940009730856
"432",20,0.12,0.04,0.906819,0.53,111.43884694194
"433",20,0.12,0.06,0.851327,0.36,111.630282677996
"434",20,0.12,0.08,0.784653,0.17,111.437043173779
"435",20,0.12,0.1,0.754929,0.06,111.299052411176
"436",20,0.12,0.12,0.752549,0.11,111.532381060814
"437",20,0.12,0.14,0.783036,0.17,110.902300394751
"438",20,0.12,0.16,0.844953,0.36,111.443461141844
"439",20,0.12,0.18,0.902786,0.52,110.651962583682
"440",20,0.12,0.2,0.944068,0.7,110.24873691753
"441",20,0.14,0,0.992225,0.96,111.780029060235
"442",20,0.14,0.02,0.980408,0.88,111.940009730856
"443",20,0.14,0.04,0.957195,0.77,111.43884694194
"444",20,0.14,0.06,0.91712,0.59,111.630282677996
"445",20,0.14,0.08,0.863976,0.43,111.437043173779
"446",20,0.14,0.1,0.797075,0.19,111.299052411176
"447",20,0.14,0.12,0.75763,0.08,111.532381060814
"448",20,0.14,0.14,0.749945,0.09,110.902300394751
"449",20,0.14,0.16,0.771865,0.15,111.443461141844
"450",20,0.14,0.18,0.830464,0.33,110.651962583682
"451",20,0.14,0.2,0.890385,0.48,110.24873691753
"452",20,0.16,0,0.997786,0.99,111.780029060235
"453",20,0.16,0.02,0.993623,0.97,111.940009730856
"454",20,0.16,0.04,0.983554,0.9,111.43884694194
"455",20,0.16,0.06,0.962784,0.83,111.630282677996
"456",20,0.16,0.08,0.927071,0.62,111.437043173779
"457",20,0.16,0.1,0.875574,0.44,111.299052411176
"458",20,0.16,0.12,0.811464,0.23,111.532381060814
"459",20,0.16,0.14,0.760132,0.09,110.902300394751
"460",20,0.16,0.16,0.7476,0.07,111.443461141844
"461",20,0.16,0.18,0.761295,0.12,110.651962583682
"462",20,0.16,0.2,0.815538,0.31,110.24873691753
"463",20,0.18,0,0.99943,1,111.780029060235
"464",20,0.18,0.02,0.998233,1,111.940009730856
"465",20,0.18,0.04,0.994838,0.98,111.43884694194
"466",20,0.18,0.06,0.986282,0.92,111.630282677996
"467",20,0.18,0.08,0.967798,0.84,111.437043173779
"468",20,0.18,0.1,0.936069,0.66,111.299052411176
"469",20,0.18,0.12,0.886394,0.48,111.532381060814
"470",20,0.18,0.14,0.824691,0.28,110.902300394751
"471",20,0.18,0.16,0.764493,0.13,111.443461141844
"472",20,0.18,0.18,0.747439,0.08,110.651962583682
"473",20,0.18,0.2,0.754204,0.1,110.24873691753
"474",20,0.2,0,0.999876,1,111.780029060235
"475",20,0.2,0.02,0.999556,1,111.940009730856
"476",20,0.2,0.04,0.998553,1,111.43884694194
"477",20,0.2,0.06,0.995787,0.99,111.630282677996
"478",20,0.2,0.08,0.988517,0.93,111.437043173779
"479",20,0.2,0.1,0.972485,0.86,111.299052411176
"480",20,0.2,0.12,0.943713,0.71,111.532381060814
"481",20,0.2,0.14,0.896329,0.51,110.902300394751
"482",20,0.2,0.16,0.836988,0.31,111.443461141844
"483",20,0.2,0.18,0.771333,0.13,110.651962583682
"484",20,0.2,0.2,0.748398,0.06,110.24873691753
"485",25,0,0,0.794179,0.24,116.257023500791
"486",25,0,0.02,0.852708,0.37,116.177552092919
"487",25,0,0.04,0.90956,0.56,115.855946037074
"488",25,0,0.06,0.951601,0.75,116.155929916736
