"","nc","delta1","delta2","pow","ess"
"302",42,0.1,0.08,1,49.0276571514168
"303",42,0.1,0.1,1,47.5653360475886
"304",42,0.1,0.12,1,45.0645163983712
"305",42,0.1,0.14,0.9,41.436797975085
"306",42,0.1,0.16,1,36.862939345246
"307",42,0.1,0.18,1,31.7580901211834
"308",42,0.1,0.2,1,26.6185851983319
"309",42,0.12,0,1,49.9986387680472
"310",42,0.12,0.02,1,49.998702373011
"311",42,0.12,0.04,1,49.9560836695446
"312",42,0.12,0.06,1,49.7194789689687
"313",42,0.12,0.08,0.9,49.0276571514168
"314",42,0.12,0.1,1,47.5653360475886
"315",42,0.12,0.12,1,45.0645163983712
"316",42,0.12,0.14,1,41.436797975085
"317",42,0.12,0.16,1,36.862939345246
"318",42,0.12,0.18,1,31.7580901211834
"319",42,0.12,0.2,1,26.6185851983319
"320",42,0.14,0,1,49.9986387680472
"321",42,0.14,0.02,1,49.998702373011
"322",42,0.14,0.04,1,49.9560836695446
"323",42,0.14,0.06,1,49.7194789689687
"324",42,0.14,0.08,1,49.0276571514168
"325",42,0.14,0.1,1,47.5653360475886
"326",42,0.14,0.12,1,45.0645163983712
"327",42,0.14,0.14,1,41.436797975085
"328",42,0.14,0.16,0.9,36.862939345246
"329",42,0.14,0.18,1,31.7580901211834
"330",42,0.14,0.2,1,26.6185851983319
"331",42,0.16,0,1,49.9986387680472
"332",42,0.16,0.02,1,49.998702373011
"333",42,0.16,0.04,1,49.9560836695446
"334",42,0.16,0.06,1,49.7194789689687
"335",42,0.16,0.08,1,49.0276571514168
"336",42,0.16,0.1,1,47.5653360475886
"337",42,0.16,0.12,1,45.0645163983712
"338",42,0.16,0.14,1,41.436797975085
"339",42,0.16,0.16,1,36.862939345246
"340",42,0.16,0.18,1,31.7580901211834
"341",42,0.16,0.2,1,26.6185851983319
"342",42,0.18,0,1,49.9986387680472
"343",42,0.18,0.02,1,49.998702373011
"344",42,0.18,0.04,1,49.9560836695446
"345",42,0.18,0.06,1,49.7194789689687
"346",42,0.18,0.08,1,49.0276571514168
"347",42,0.18,0.1,1,47.5653360475886
"348",42,0.18,0.12,1,45.0645163983712
"349",42,0.18,0.14,1,41.436797975085
"350",42,0.18,0.16,1,36.862939345246
"351",42,0.18,0.18,1,31.7580901211834
"352",42,0.18,0.2,1,26.6185851983319
"353",42,0.2,0,1,49.9986387680472
"354",42,0.2,0.02,1,49.998702373011
"355",42,0.2,0.04,1,49.9560836695446
"356",42,0.2,0.06,1,49.7194789689687
"357",42,0.2,0.08,1,49.0276571514168
"358",42,0.2,0.1,1,47.5653360475886
"359",42,0.2,0.12,1,45.0645163983712
"360",42,0.2,0.14,1,41.436797975085
"361",42,0.2,0.16,1,36.862939345246
"362",42,0.2,0.18,1,31.7580901211834
"363",42,0.2,0.2,1,26.6185851983319
"364",30,0,0,0,49.9997324372054
"365",30,0,0.02,0,49.999093702372
"366",30,0,0.04,0,49.9795256482886
"367",30,0,0.06,0,49.8688134519841
"368",30,0,0.08,0,49.5245294074348
"369",30,0,0.1,0,48.7432767179266
