"","nc","delta1","delta2","pow2","pow1","ess"
"254",15,0.02,0,0.837117,0.28,14.7945675120728
"255",15,0.02,0.02,0.836003,0.28,14.7551068680683
"256",15,0.02,0.04,0.836689,0.28,14.7823824939458
"257",15,0.02,0.06,0.835987,0.28,14.8241984498197
"258",15,0.02,0.08,0.836762,0.28,14.8904543164277
"259",15,0.02,0.1,0.836432,0.28,14.8420138530125
"260",15,0.02,0.12,0.836939,0.28,14.8117675530687
"261",15,0.02,0.14,0.836484,0.29,14.8635274244024
"262",15,0.02,0.16,0.836434,0.28,14.9197488052548
"263",15,0.02,0.18,0.836537,0.28,14.7535978953244
"264",15,0.02,0.2,0.836041,0.28,14.7856413004773
"265",15,0.04,0,0.844881,0.41,14.7945675120728
"266",15,0.04,0.02,0.844755,0.39,14.7551068680683
"267",15,0.04,0.04,0.845367,0.41,14.7823824939458
"268",15,0.04,0.06,0.844937,0.41,14.8241984498197
"269",15,0.04,0.08,0.845491,0.4,14.8904543164277
"270",15,0.04,0.1,0.844961,0.41,14.8420138530125
"271",15,0.04,0.12,0.845168,0.41,14.8117675530687
"272",15,0.04,0.14,0.844573,0.41,14.8635274244024
"273",15,0.04,0.16,0.844827,0.41,14.9197488052548
"274",15,0.04,0.18,0.84472,0.41,14.7535978953244
"275",15,0.04,0.2,0.844979,0.4,14.7856413004773
"276",15,0.06,0,0.876562,0.53,14.7945675120728
"277",15,0.06,0.02,0.876943,0.53,14.7551068680683
"278",15,0.06,0.04,0.876634,0.53,14.7823824939458
"279",15,0.06,0.06,0.876844,0.53,14.8241984498197
"280",15,0.06,0.08,0.876673,0.53,14.8904543164277
"281",15,0.06,0.1,0.876353,0.53,14.8420138530125
"282",15,0.06,0.12,0.877222,0.53,14.8117675530687
"283",15,0.06,0.14,0.876901,0.53,14.8635274244024
"284",15,0.06,0.16,0.876246,0.53,14.9197488052548
"285",15,0.06,0.18,0.876265,0.53,14.7535978953244
"286",15,0.06,0.2,0.876846,0.53,14.7856413004773
"287",15,0.08,0,0.913097,0.61,14.7945675120728
"288",15,0.08,0.02,0.913602,0.61,14.7551068680683
"289",15,0.08,0.04,0.913112,0.61,14.7823824939458
"290",15,0.08,0.06,0.913297,0.61,14.8241984498197
