"","nc","delta1","delta2","pow2","pow1","ess"
"287",15,0.08,0,0.862595,0.4,112.098507205657
"288",15,0.08,0.02,0.795327,0.21,112.050727295847
"289",15,0.08,0.04,0.755216,0.07,111.604098739919
"290",15,0.08,0.06,0.733608,0.04,110.509473194935
"291",15,0.08,0.08,0.743301,0.09,110.224259833656
"292",15,0.08,0.1,0.794164,0.23,108.577298666126
"293",15,0.08,0.12,0.857099,0.34,106.420615972317
"294",15,0.08,0.14,0.913339,0.53,103.57028199018
"295",15,0.08,0.16,0.950396,0.71,99.6970465553138
"296",15,0.08,0.18,0.971095,0.83,94.6282606193417
"297",15,0.08,0.2,0.981891,0.9,89.1935030980051
"298",15,0.1,0,0.92525,0.61,112.098507205657
"299",15,0.1,0.02,0.871516,0.42,112.050727295847
"300",15,0.1,0.04,0.804554,0.22,111.604098739919
"301",15,0.1,0.06,0.759695,0.07,110.509473194935
"302",15,0.1,0.08,0.733389,0.03,110.224259833656
"303",15,0.1,0.1,0.739545,0.07,108.577298666126
"304",15,0.1,0.12,0.781581,0.21,106.420615972317
"305",15,0.1,0.14,0.844402,0.33,103.57028199018
"306",15,0.1,0.16,0.896886,0.49,99.6970465553138
"307",15,0.1,0.18,0.936042,0.64,94.6282606193417
"308",15,0.1,0.2,0.959304,0.77,89.1935030980051
"309",15,0.12,0,0.965828,0.8,112.098507205657
"310",15,0.12,0.02,0.931945,0.64,112.050727295847
"311",15,0.12,0.04,0.880316,0.46,111.604098739919
"312",15,0.12,0.06,0.814093,0.24,110.509473194935
"313",15,0.12,0.08,0.764901,0.09,110.224259833656
"314",15,0.12,0.1,0.73479,0.03,108.577298666126
"315",15,0.12,0.12,0.735946,0.05,106.420615972317
"316",15,0.12,0.14,0.768571,0.17,103.57028199018
"317",15,0.12,0.16,0.828563,0.3,99.6970465553138
"318",15,0.12,0.18,0.877936,0.42,94.6282606193417
"319",15,0.12,0.2,0.918586,0.55,89.1935030980051
"320",15,0.14,0,0.986927,0.94,112.098507205657
"321",15,0.14,0.02,0.969647,0.81,112.050727295847
"322",15,0.14,0.04,0.9386,0.67,111.604098739919
"323",15,0.14,0.06,0.888556,0.49,110.509473194935
"324",15,0.14,0.08,0.825504,0.27,110.224259833656
"325",15,0.14,0.1,0.772297,0.11,108.577298666126
"326",15,0.14,0.12,0.738315,0.05,106.420615972317
"327",15,0.14,0.14,0.732962,0.05,103.57028199018
"328",15,0.14,0.16,0.756543,0.15,99.6970465553138
"329",15,0.14,0.18,0.808566,0.22,94.6282606193417
"330",15,0.14,0.2,0.858342,0.35,89.1935030980051
"331",15,0.16,0,0.995694,0.98,112.098507205657
"332",15,0.16,0.02,0.988575,0.94,112.050727295847
"333",15,0.16,0.04,0.97333,0.83,111.604098739919
"334",15,0.16,0.06,0.944291,0.68,110.509473194935
"335",15,0.16,0.08,0.8977,0.52,110.224259833656
"336",15,0.16,0.1,0.836479,0.34,108.577298666126
"337",15,0.16,0.12,0.779382,0.14,106.420615972317
"338",15,0.16,0.14,0.743772,0.04,103.57028199018
"339",15,0.16,0.16,0.730057,0.04,99.6970465553138
"340",15,0.16,0.18,0.743934,0.08,94.6282606193417
"341",15,0.16,0.2,0.782793,0.22,89.1935030980051
"342",15,0.18,0,0.998737,1,112.098507205657
"343",15,0.18,0.02,0.996288,0.98,112.050727295847
"344",15,0.18,0.04,0.990103,0.94,111.604098739919
"345",15,0.18,0.06,0.976348,0.87,110.509473194935
"346",15,0.18,0.08,0.949867,0.72,110.224259833656
"347",15,0.18,0.1,0.90597,0.54,108.577298666126
"348",15,0.18,0.12,0.849285,0.36,106.420615972317
"349",15,0.18,0.14,0.787347,0.18,103.57028199018
"350",15,0.18,0.16,0.752296,0.07,99.6970465553138
"351",15,0.18,0.18,0.727496,0.04,94.6282606193417
"352",15,0.18,0.2,0.7331,0.08,89.1935030980051
"353",15,0.2,0,0.999697,1,112.098507205657
"354",15,0.2,0.02,0.998958,1,112.050727295847
"355",15,0.2,0.04,0.996794,0.98,111.604098739919
"356",15,0.2,0.06,0.991445,0.96,110.509473194935
"357",15,0.2,0.08,0.97926,0.91,110.224259833656
"358",15,0.2,0.1,0.954948,0.75,108.577298666126
"359",15,0.2,0.12,0.914909,0.56,106.420615972317
"360",15,0.2,0.14,0.861883,0.4,103.57028199018
"361",15,0.2,0.16,0.80058,0.21,99.6970465553138
"362",15,0.2,0.18,0.763416,0.09,94.6282606193417
"363",15,0.2,0.2,0.732415,0.04,89.1935030980051
"364",20,0,0,0.774699,0.14,116.908616028937
"365",20,0,0.02,0.840312,0.33,116.700048587758
"366",20,0,0.04,0.898787,0.48,116.075144494254
"367",20,0,0.06,0.940795,0.66,115.560071117624
"368",20,0,0.08,0.969422,0.81,114.113607135916
"369",20,0,0.1,0.984881,0.91,111.310453159267
"370",20,0,0.12,0.992729,0.97,108.355324749273
"371",20,0,0.14,0.996392,0.99,103.994536531252
"372",20,0,0.16,0.998059,1,98.986849167983
"373",20,0,0.18,0.998735,1,93.0609321081472
"374",20,0,0.2,0.998993,1,85.9445058615713
"375",20,0.02,0,0.731118,0.05,116.908616028937
"376",20,0.02,0.02,0.763819,0.11,116.700048587758
"377",20,0.02,0.04,0.826679,0.31,116.075144494254
"378",20,0.02,0.06,0.886285,0.43,115.560071117624
"379",20,0.02,0.08,0.931608,0.64,114.113607135916
"380",20,0.02,0.1,0.96258,0.78,111.310453159267
"381",20,0.02,0.12,0.980387,0.87,108.355324749273
"382",20,0.02,0.14,0.989669,0.95,103.994536531252
"383",20,0.02,0.16,0.994294,0.98,98.986849167983
"384",20,0.02,0.18,0.996258,0.98,93.0609321081472
"385",20,0.02,0.2,0.997121,0.99,85.9445058615713
"386",20,0.04,0,0.734118,0.06,116.908616028937
"387",20,0.04,0.02,0.728428,0.06,116.700048587758
"388",20,0.04,0.04,0.752533,0.09,116.075144494254
"389",20,0.04,0.06,0.81149,0.24,115.560071117624
"390",20,0.04,0.08,0.872116,0.39,114.113607135916
"391",20,0.04,0.1,0.919999,0.6,111.310453159267
"392",20,0.04,0.12,0.953524,0.75,108.355324749273
"393",20,0.04,0.14,0.973677,0.85,103.994536531252
"394",20,0.04,0.16,0.984536,0.89,98.986849167983
"395",20,0.04,0.18,0.990011,0.94,93.0609321081472
"396",20,0.04,0.2,0.99264,0.97,85.9445058615713
"397",20,0.06,0,0.787132,0.13,116.908616028937
"398",20,0.06,0.02,0.738054,0.06,116.700048587758
"399",20,0.06,0.04,0.726083,0.05,116.075144494254
"400",20,0.06,0.06,0.743394,0.09,115.560071117624
"401",20,0.06,0.08,0.796131,0.21,114.113607135916
"402",20,0.06,0.1,0.854973,0.37,111.310453159267
"403",20,0.06,0.12,0.905959,0.53,108.355324749273
"404",20,0.06,0.14,0.940676,0.68,103.994536531252
"405",20,0.06,0.16,0.963192,0.79,98.986849167983
"406",20,0.06,0.18,0.975676,0.85,93.0609321081472
"407",20,0.06,0.2,0.98216,0.89,85.9445058615713
"408",20,0.08,0,0.865248,0.37,116.908616028937
"409",20,0.08,0.02,0.801337,0.16,116.700048587758
